"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","dip_0.wav","dip","0","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_30.wav","dip","30","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_30.wav","dip","30","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dill_55.wav","till","55","labeled","expo-10ms","A","A","2","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_65.wav","till","65","labeled","expo-10ms","A","A","2","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_75.wav","till","75","labeled","expo-10ms","A","A","2","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_85.wav","till","85","labeled","expo-10ms","A","A","2","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_60.wav","till","60","unlabeled","expo-10ms","A","A","2","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_70.wav","till","70","unlabeled","expo-10ms","A","A","2","50","16.431676725155","till","dill","d-right","234"
