display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
,right,,,right,2,c1,1,exposure,exposure2,exposure2,t,d,right_leftt.jpeg
,right,,,right,2,c1,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,right,,,right,2,c1,1,exposure,exposure2,exposure2,t,d,right_leftt.jpeg
,din,din_-5.wav,-5,,6,,,test,test6,test6,t,d,blank.jpeg
,din,din_+5.wav,5,,6,,,test,test6,test6,t,d,blank.jpeg
,din,din_+15.wav,15,,6,,,test,test6,test6,t,d,blank.jpeg
,din,din_+25.wav,25,,6,,,test,test6,test6,t,d,blank.jpeg
,dip,dip_+30.wav,30,,6,,,test,test6,test6,t,d,blank.jpeg
,dip,dip_+35.wav,35,,6,,,test,test6,test6,t,d,blank.jpeg
,dip,dip_+40.wav,40,,6,,,test,test6,test6,t,d,blank.jpeg
,dip,dip_+45.wav,45,,6,,,test,test6,test6,t,d,blank.jpeg
,dill,dill_+50.wav,50,,6,,,test,test6,test6,t,d,blank.jpeg
,dill,dill_+55.wav,55,,6,,,test,test6,test6,t,d,blank.jpeg
,dill,dill_+65.wav,65,,6,,,test,test6,test6,t,d,blank.jpeg
,dill,dill_+70.wav,70,,6,,,test,test6,test6,t,d,blank.jpeg
,dill,dill_-5.wav,-5,,1,,,test,test1,test1,t,d,blank.jpeg
,dill,dill_+5.wav,5,,1,,,test,test1,test1,t,d,blank.jpeg
,dill,dill_+15.wav,15,,1,,,test,test1,test1,t,d,blank.jpeg
,dill,dill_+25.wav,25,,1,,,test,test1,test1,t,d,blank.jpeg
,din,din_+30.wav,30,,1,,,test,test1,test1,t,d,blank.jpeg
,din,din_+35.wav,35,,1,,,test,test1,test1,t,d,blank.jpeg
,din,din_+40.wav,40,,1,,,test,test1,test1,t,d,blank.jpeg
,din,din_+45.wav,45,,1,,,test,test1,test1,t,d,blank.jpeg
,dip,dip_+50.wav,50,,1,,,test,test1,test1,t,d,blank.jpeg
,dip,dip_+55.wav,55,,1,,,test,test1,test1,t,d,blank.jpeg
,dip,dip_+65.wav,65,,1,,,test,test1,test1,t,d,blank.jpeg
,dip,dip_+70.wav,70,,1,,,test,test1,test1,t,d,blank.jpeg
,dip,dip_-5.wav,-5,,2,,,test,test2,test2,t,d,blank.jpeg
,dip,dip_+5.wav,5,,2,,,test,test2,test2,t,d,blank.jpeg
,dip,dip_+15.wav,15,,2,,,test,test2,test2,t,d,blank.jpeg
,dip,dip_+25.wav,25,,2,,,test,test2,test2,t,d,blank.jpeg
,dill,dill_+30.wav,30,,2,,,test,test2,test2,t,d,blank.jpeg
,dill,dill_+35.wav,35,,2,,,test,test2,test2,t,d,blank.jpeg
,dill,dill_+40.wav,40,,2,,,test,test2,test2,t,d,blank.jpeg
,dill,dill_+45.wav,45,,2,,,test,test2,test2,t,d,blank.jpeg
,din,din_+50.wav,50,,2,,,test,test2,test2,t,d,blank.jpeg
,din,din_+55.wav,55,,2,,,test,test2,test2,t,d,blank.jpeg
,din,din_+65.wav,65,,2,,,test,test2,test2,t,d,blank.jpeg
,din,din_+70.wav,70,,2,,,test,test2,test2,t,d,blank.jpeg
break4,,,,,,,,,,,t,d,blank.jpeg
final reminder,,,,,,,,,,,t,d,blank.jpeg
